Title,Author,Length,Width,Height,Pages,Color
The Reformatory,Tananarive Due,9,6,1.4,576,#6e223c
The Night Parade,Jami Nakamura Lin,8.5,5.5,1.25,352,#00767f
Quiet,Susan Cain,8,5.18,1,333,#797f7f
